,year,co2,co2_per_capita,coal_co2,gas_co2,oil_co2,gdp,renewable_capacity_mw,net_imports_gwh,elec_price_eur_kwh,elec_gen_clean_twh,elec_gen_fossil_twh,elec_gen_hydro_twh,elec_gen_nuclear_twh,elec_gen_renewables_twh,elec_gen_solar_twh,elec_gen_wind_twh,elec_gen_total_twh,carbon_price_eur_tonne
year,1.0,-0.055294811007543326,-0.2556293529751746,-0.0996144668878891,-0.021914102997419346,-0.02301619807965417,0.03366271264691673,,-0.10118176254522655,0.2933340605868556,0.032712085858114394,-0.07222332378592967,-0.020101748886851054,-0.03209777219617355,0.12321710171991575,0.21337512260100683,0.17195183968499025,,0.7750813906482112
co2,-0.055294811007543326,1.0,0.1089377439144203,0.8766434185380735,0.9189094874505283,0.9526012369194554,0.9557398092886972,,0.9551178864575361,0.32591548093107386,0.6566349261767959,0.962583376680993,0.3649478612625166,0.41054034696605585,0.8024820577471606,0.7877754562464784,0.7682762315458974,,-0.04536561894533745
co2_per_capita,-0.2556293529751746,0.1089377439144203,1.0,0.21986077303382523,0.056052593022502956,0.017041759788114435,0.007031826780535649,,0.1505706023177911,0.013735307534915057,-0.11854456710609301,0.15404979848563868,-0.24727064972015822,-0.1065517750717257,-0.09349695653578914,-0.007019055292250463,-0.031152185468479886,,-0.2009934420008255
coal_co2,-0.0996144668878891,0.8766434185380735,0.21986077303382523,1.0,0.6544814226884967,0.7061262059203794,0.7224595341313197,,0.872851463245509,0.19258318526588936,0.3684381818899088,0.8885137315477212,0.08499555313406083,0.1610296644131399,0.5600835480129384,0.5743745460106374,0.6075381798020615,,-0.08600210647502808
gas_co2,-0.021914102997419346,0.9189094874505283,0.056052593022502956,0.6544814226884967,1.0,0.9256853188662626,0.9367725597281387,,0.8655799577678995,0.35380212216625256,0.630700576021687,0.8958041293339687,0.4105016926762079,0.3801190383490534,0.7932907401979619,0.8140760397072777,0.7094503984652737,,-0.018360762467965905
oil_co2,-0.02301619807965417,0.9526012369194554,0.017041759788114435,0.7061262059203794,0.9256853188662626,1.0,0.9888169789033607,,0.8865503486697458,0.3680555837748667,0.8103446341331718,0.8665367174927946,0.5246861523546859,0.5840070234409498,0.867787183964241,0.8072093125866241,0.7918814196162427,,-0.013911085358258607
gdp,0.03366271264691673,0.9557398092886972,0.007031826780535649,0.7224595341313197,0.9367725597281387,0.9888169789033607,1.0,,0.8962577292733298,0.3958848496664101,0.8058199403614631,0.872460204458192,0.5108074404526383,0.5734453207285887,0.8926677118054052,0.8609943171596997,0.8259481705363904,,0.025875481017160806
renewable_capacity_mw,,,,,,,,,,,,,,,,,,,
net_imports_gwh,-0.10118176254522655,0.9551178864575361,0.1505706023177911,0.872851463245509,0.8655799577678995,0.8865503486697458,0.8962577292733298,,1.0,0.347051608582763,0.5743123099777453,0.9419780443281158,0.291779125615589,0.3242237651305842,0.7570721462522769,0.73873670545902,0.7480505643048281,,-0.08700846745085483
elec_price_eur_kwh,0.2933340605868556,0.32591548093107386,0.013735307534915057,0.19258318526588936,0.35380212216625256,0.3680555837748667,0.3958848496664101,,0.347051608582763,1.0,0.23784413275523947,0.32382244175396313,0.16296970735955915,0.0379339273001325,0.46613325331785566,0.46789644715680884,0.507514074371884,,0.34390239072332685
elec_gen_clean_twh,0.032712085858114394,0.6566349261767959,-0.11854456710609301,0.3684381818899088,0.630700576021687,0.8103446341331718,0.8058199403614631,,0.5743123099777453,0.23784413275523947,1.0,0.45179675476281106,0.7127947300894363,0.9136777220600523,0.7651932462171677,0.5582454604449222,0.620898582055594,,0.022993067079852342
elec_gen_fossil_twh,-0.07222332378592967,0.962583376680993,0.15404979848563868,0.8885137315477212,0.8958041293339687,0.8665367174927946,0.872460204458192,,0.9419780443281158,0.32382244175396313,0.45179675476281106,1.0,0.23386905625623483,0.1729168377924392,0.7256817630108929,0.767550213877061,0.720564159504953,,-0.05810014811762714
elec_gen_hydro_twh,-0.020101748886851054,0.3649478612625166,-0.24727064972015822,0.08499555313406083,0.4105016926762079,0.5246861523546859,0.5108074404526383,,0.291779125615589,0.16296970735955915,0.7127947300894363,0.23386905625623483,1.0,0.56464262971297,0.6826351431181544,0.3131863596354191,0.34836978549586345,,-0.021244680303768738
elec_gen_nuclear_twh,-0.03209777219617355,0.41054034696605585,-0.1065517750717257,0.1610296644131399,0.3801190383490534,0.5840070234409498,0.5734453207285887,,0.3242237651305842,0.0379339273001325,0.9136777220600523,0.1729168377924392,0.56464262971297,1.0,0.4374740390389949,0.23086236948098082,0.2978392992921201,,-0.02986715161168953
elec_gen_renewables_twh,0.12321710171991575,0.8024820577471606,-0.09349695653578914,0.5600835480129384,0.7932907401979619,0.867787183964241,0.8926677118054052,,0.7570721462522769,0.46613325331785566,0.7651932462171677,0.7256817630108929,0.6826351431181544,0.4374740390389949,1.0,0.8694094688762262,0.9022495310471901,,0.09818085441872947
elec_gen_solar_twh,0.21337512260100683,0.7877754562464784,-0.007019055292250463,0.5743745460106374,0.8140760397072777,0.8072093125866241,0.8609943171596997,,0.73873670545902,0.46789644715680884,0.5582454604449222,0.767550213877061,0.3131863596354191,0.23086236948098082,0.8694094688762262,1.0,0.8884857549539997,,0.19909363385197612
elec_gen_wind_twh,0.17195183968499025,0.7682762315458974,-0.031152185468479886,0.6075381798020615,0.7094503984652737,0.7918814196162427,0.8259481705363904,,0.7480505643048281,0.507514074371884,0.620898582055594,0.720564159504953,0.34836978549586345,0.2978392992921201,0.9022495310471901,0.8884857549539997,1.0,,0.13815357672590814
elec_gen_total_twh,,,,,,,,,,,,,,,,,,,
carbon_price_eur_tonne,0.7750813906482112,-0.04536561894533745,-0.2009934420008255,-0.08600210647502808,-0.018360762467965905,-0.013911085358258607,0.025875481017160806,,-0.08700846745085483,0.34390239072332685,0.022993067079852342,-0.05810014811762714,-0.021244680303768738,-0.02986715161168953,0.09818085441872947,0.19909363385197612,0.13815357672590814,,1.0
