STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2010,,5021.898,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2011,,4637.746,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2012,,4952.506,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2013,,4594.823,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2014,,4548.633,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2015,,4142.823,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2016,,4303.615,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2017,,4647.085,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2018,,4031.040,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2019,,4108.781,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2020,,3601.243,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2021,,3764.317,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2022,,3602.595,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,AT,Austria,2023,,3518.501,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2010,,6763.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2011,,6558.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2012,,5968.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2013,,6070.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2014,,5925.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2015,,4920.700,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2016,,4425.200,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2017,,4320.700,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2018,,4730.200,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2019,,4619.400,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2020,,3727.200,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2021,,3608.700,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2022,,4082.800,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BE,Belgium,2023,,3642.800,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2010,,2846.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2011,,3362.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2012,,2506.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2013,,1618.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2014,,1461.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2015,,1137.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2016,,859.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2017,,960.401,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2018,,897.079,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2019,,620.281,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2020,,661.034,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2021,,914.257,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2022,,1427.356,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,BG,Bulgaria,2023,,644.644,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2010,,18.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2011,,1.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2012,,1.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2013,,1.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2014,,5.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2015,,6.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2016,,0.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2017,,16.500,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2018,,22.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2019,,32.454,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2020,,23.643,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2021,,64.823,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2022,,77.650,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CY,Cyprus,2023,,22.002,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2010,,3681.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2011,,3769.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2012,,3501.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2013,,3635.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2014,,5585.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2015,,5046.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2016,,4718.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2017,,4796.189,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2018,,4758.695,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2019,,4449.049,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2020,,4318.885,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2021,,5443.200,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2022,,5379.615,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2023,,4404.284,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2010,,50484.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2011,,51916.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2012,,52479.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2013,,58034.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2014,,57453.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2015,,57637.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2016,,60327.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2017,,52935.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2018,,47259.772,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2019,,43007.711,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2020,,31281.095,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2021,,40851.878,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2022,,44791.061,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2023,,33025.415,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2010,,4594.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2011,,6159.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2012,,4000.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2013,,4973.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2014,,4554.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2015,,2772.426,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2016,,2897.384,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2017,,3085.752,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2018,,2770.486,,,,,
